"","lon","lat"
"833",1.0717602,47.8052439
"834",-79.6876659,43.467517
"835",NA,NA
"836",28.9703304,41.0382864
"837",NA,NA
"838",NA,NA
"839",NA,NA
"840",NA,NA
"841",-43.1728965,-22.9068467
"842",-96.7969879,32.7766642
"843",-43.1728965,-22.9068467
"844",-74.2687291,40.3380949
"845",-89.3985283,40.6331249
"846",-86.158068,39.768403
"847",-71.0588801,42.3600825
"848",-86.1349019,40.2671941
"849",NA,NA
"850",-117.4260465,47.6587802
"851",NA,NA
"852",-3.188267,55.953252
"853",-96.685679,33.1747056
"854",-86.9080655,40.4258686
"855",-105.7820674,39.5500507
"856",-82.3688078,40.7739051
"857",-97.7430608,30.267153
"858",-96.7969879,32.7766642
"859",-74.0059728,40.7127753
"860",-74.0059728,40.7127753
"861",-89.6501481,39.7817213
"862",-77.6109219,43.16103
"863",-46.6333094,-23.5505199
"864",-92.1053864,37.8287218
"865",-77.0368707,38.9071923
"866",-79.7919754,36.0726354
"867",-43.1728965,-22.9068467
"868",NA,NA
"869",-95.3698028,29.7604267
"870",-118.2436849,34.0522342
"871",-87.6297982,41.8781136
"872",-93.7049219,32.4274274
"873",NA,NA
"874",-36.7819505,-7.2399609
"875",-78.4531994,38.0086043
"876",-111.0937311,34.0489281
"877",-44.0947303,-22.5077597
"878",NA,NA
"879",NA,NA
"880",-80.1343585,26.0989338
"881",-119.4179324,36.778261
"882",-84.5037164,38.0405837
"883",-87.6986407,34.7650887
"884",-86.158068,39.768403
"885",NA,NA
"886",-120.8958242,38.8375215
"887",-122.3320708,47.6062095
"888",-119.4179324,36.778261
"889",37.37811,37.065953
"890",76.2764803,31.8738566
"891",-105.7820674,39.5500507
"892",29.2204548,40.9184004
"893",-117.1610838,32.715738
"894",NA,NA
"895",NA,NA
"896",-84.5037164,38.0405837
"897",-117.1610838,32.715738
"898",-95.712891,37.09024
"899",-71.0588801,42.3600825
"900",31.104447,36.917399
"901",-117.1610838,32.715738
"902",NA,NA
"903",-68.6312724,44.6703767
"904",-82.907123,40.4172871
"905",-43.1728965,-22.9068467
"906",-81.4023356,40.875891
"907",-74.0059728,40.7127753
"908",28.8297649,41.0372618
"909",-110.926479,32.2217429
"910",-93.0427153,44.8480218
"911",NA,NA
"912",144.9630576,-37.8136276
"913",-95.3698028,29.7604267
"914",-87.9183919,41.7489203
"915",-86.7816016,36.1626638
"916",NA,NA
"917",-81.1637245,33.836081
"918",-95.712891,37.09024
"919",-118.4911912,34.0194543
"920",-3.188267,55.953252
"921",-121.840766,39.729709
"922",37.2115829,36.9907413
"923",NA,NA
"924",-77.0368707,38.9071923
"925",-97.330053,37.6871761
"926",29.3598782,40.8982305
"927",-82.5748194,27.4989278
"928",39.7822187,40.9941091
"929",-118.032844,33.9791793
"930",-118.2436849,34.0522342
"931",-84.3879824,33.7489954
"932",-82.2542834,34.7370639
"933",-87.6300207,40.124481
"934",-77.0368707,38.9071923
"935",-78.6568942,37.4315734
"936",-1.994828,51.3489069
"937",-69.9598343,43.7864342
"938",-76.4968227,37.2765782
"939",-74.511172,40.3025907
"940",2.1734035,41.3850639
"941",-121.4943996,38.5815719
"942",-104.9508141,39.6172101
"943",NA,NA
"944",-97.4137553,42.0327234
"945",-95.712891,37.09024
"946",-74.1095819,40.6925712
"947",-95.712891,37.09024
"948",-117.1319135,33.5610582
"949",-84.5037164,38.0405837
"950",NA,NA
"951",-77.0368707,38.9071923
"952",-43.1728965,-22.9068467
"953",NA,NA
"954",-94.1877922,36.3179139
"955",-74.0059728,40.7127753
"956",NA,NA
"957",NA,NA
"958",-43.1728965,-22.9068467
"959",-106.6055534,35.0853336
"960",NA,NA
"961",-77.0947092,38.984652
"962",-81.0371117,29.1712454
"963",NA,NA
"964",-81.5157535,27.6648274
